Region,age_group_name,sex_name,Nutrient,region_mean
Southern Africa,75 to 79,Male,Sodium,2.2254213525264106
Southern Africa,75 to 79,Male,Sugar,19.420539890468085
Southern Africa,80 to 84,Female,PUFA,2.0009850027073566
Southern Africa,80 to 84,Female,Sodium,2.3972833160190876
Southern Africa,80 to 84,Female,Sugar,21.071831649138083
Southern Africa,80 to 84,Male,PUFA,2.09225887746875
Southern Africa,80 to 84,Male,Sodium,2.2584593511183035
Southern Africa,80 to 84,Male,Sugar,17.308588649783935
Southern Africa,85 to 89,Female,PUFA,1.9869311641734262
Southern Africa,85 to 89,Female,Sodium,2.409799484789643
Southern Africa,85 to 89,Female,Sugar,23.121093051038066
Southern Africa,85 to 89,Male,PUFA,2.0719829183406633
Southern Africa,85 to 89,Male,Sodium,2.2794611747350544
Southern Africa,85 to 89,Male,Sugar,18.389890055792613
Southern Africa,90 to 94,Female,PUFA,1.9875019131176332
Southern Africa,90 to 94,Female,Sodium,2.4138230038180857
Southern Africa,90 to 94,Female,Sugar,23.13051937778155
Southern Africa,90 to 94,Male,PUFA,2.0793093210151956
Southern Africa,90 to 94,Male,Sodium,2.2829215801906617
Southern Africa,90 to 94,Male,Sugar,18.481953367642436
Southern Africa,95 plus,Female,PUFA,1.9950564752418976
Southern Africa,95 plus,Female,Sodium,2.4107809484061224
Southern Africa,95 plus,Female,Sugar,22.977439239611535
Southern Africa,95 plus,Male,PUFA,2.0811929639151234
Southern Africa,95 plus,Male,Sodium,2.2766714017942227
Southern Africa,95 plus,Male,Sugar,18.894457143104145
West Africa,25 to 29,Female,PUFA,1.1738295516500616
West Africa,25 to 29,Female,Sodium,2.66776418583059
West Africa,25 to 29,Female,Sugar,23.845944027132337
West Africa,25 to 29,Male,PUFA,1.2317368740839025
West Africa,25 to 29,Male,Sodium,2.650266121666553
West Africa,25 to 29,Male,Sugar,19.764987139659215
West Africa,30 to 34,Female,PUFA,1.186199490286722
West Africa,30 to 34,Female,Sodium,2.596366429126031
